remi_industry,naics,industry,cns
"Forestry, fishing, and hunting",11,11,CNS01
Mining,21,21,CNS02
Utilities,22,22,CNS03
Construction,23,23,CNS04
Manufacturing,"31,32,33",3133,CNS05
Wholesale trade,42,42,CNS06
Retail trade,"44,45",4445,CNS07
Transportation and warehousing,"48,49",4849,CNS08
Information,51,51,CNS09
Finance and insurance,52,52,CNS10
Real estate and rental and leasing,53,53,CNS11
"Professional, scientific, and technical services",54,54,CNS12
Management of companies and enterprises,55,55,CNS13
"Administrative, support, waste management, and remediation services",56,56,CNS14
Educational services; private,61,61,CNS15
Health care and social assistance,62,62,CNS16
"Arts, entertainment, and recreation",71,71,CNS17
Accommodation and food services,72,72,CNS18
Other services (except public administration),81,81,CNS19
State and Local Government,98,98,CNS20
Federal Civilian,98,98,CNS20
Federal Military,98,99,CNS20
Farm,11,11,CNS01
